lambda_nm Rup_1nm Rup_8nm Rup_16nm Rup_24nm Rup_31nm Rup_39nm Rup_47nm Rup_54nm Rup_62nm Rup_70nm Rdown_1nm Rdown_8nm Rdown_16nm Rdown_24nm Rdown_31nm Rdown_39nm Rdown_47nm Rdown_54nm Rdown_62nm Rdown_70nm
582.663317 0.063684 0.124742 0.306827 0.456947 0.560090 0.630968 0.679103 0.711221 0.732317 0.746002 0.047075 0.060860 0.227108 0.380092 0.493600 0.575235 0.632586 0.672020 0.698668 0.716439
585.427136 0.063288 0.126886 0.315245 0.466509 0.569162 0.639171 0.686457 0.717872 0.738432 0.751729 0.047022 0.064112 0.235843 0.390754 0.504261 0.585142 0.641557 0.680123 0.706059 0.723285
588.190955 0.062904 0.129394 0.323718 0.475884 0.577841 0.646850 0.693209 0.723876 0.743874 0.756769 0.046957 0.067598 0.244625 0.401308 0.514676 0.594720 0.650158 0.687841 0.713063 0.729747
590.954774 0.062531 0.132234 0.332230 0.485049 0.586109 0.653990 0.699349 0.729229 0.748645 0.761126 0.046880 0.071272 0.253441 0.411738 0.524834 0.603965 0.658391 0.695180 0.719690 0.735838
593.718593 0.062168 0.135365 0.340769 0.493986 0.593946 0.660577 0.704870 0.733927 0.752743 0.764802 0.046792 0.075092 0.262284 0.422037 0.534733 0.612881 0.666268 0.702157 0.725959 0.741577
596.482412 0.061815 0.138745 0.349324 0.502673 0.601330 0.666594 0.709758 0.737962 0.756163 0.767793 0.046689 0.079012 0.271120 0.432153 0.544316 0.621413 0.673732 0.708716 0.731813 0.746911
599.246231 0.061470 0.142333 0.357883 0.511089 0.608238 0.672021 0.714000 0.741323 0.758898 0.770095 0.046574 0.083010 0.279968 0.442120 0.553634 0.629625 0.680859 0.714940 0.737342 0.751931
602.010050 0.061136 0.146095 0.366435 0.519209 0.614645 0.676837 0.717576 0.743995 0.760933 0.771694 0.046449 0.087067 0.288825 0.451934 0.562690 0.637528 0.687668 0.720851 0.742570 0.756660
604.773869 0.060809 0.150008 0.374969 0.527008 0.620522 0.681014 0.720464 0.745957 0.762251 0.772573 0.046310 0.091161 0.297662 0.461550 0.571434 0.645073 0.694108 0.726400 0.747446 0.761050
607.537688 0.060490 0.154050 0.383473 0.534457 0.625835 0.684523 0.722635 0.747183 0.762827 0.772710 0.046164 0.095292 0.306502 0.471004 0.579918 0.652327 0.700258 0.731671 0.752061 0.765193
610.301508 0.060177 0.158208 0.391934 0.541525 0.630549 0.687325 0.724055 0.747640 0.762629 0.772073 0.046007 0.099444 0.315310 0.480239 0.588082 0.659229 0.706057 0.736604 0.756353 0.769026
613.065327 0.059868 0.162472 0.400339 0.548175 0.634619 0.689379 0.724682 0.747288 0.761617 0.770622 0.045840 0.103612 0.324069 0.489231 0.595907 0.665767 0.711496 0.741193 0.760316 0.772545
615.829146 0.059563 0.166834 0.408671 0.554365 0.637995 0.690632 0.724465 0.746077 0.759743 0.768310 0.045672 0.107815 0.332834 0.498057 0.603490 0.672057 0.716708 0.745578 0.764097 0.775899
618.592965 0.059261 0.171291 0.416912 0.560048 0.640619 0.691024 0.723344 0.743947 0.756947 0.765078 0.045497 0.112032 0.341536 0.506612 0.610719 0.677985 0.721573 0.749638 0.767574 0.778965
621.356784 0.058960 0.175839 0.425043 0.565168 0.642422 0.690484 0.721248 0.740828 0.753159 0.760855 0.045319 0.116277 0.350196 0.514921 0.617631 0.683600 0.726154 0.753442 0.770819 0.781817
624.120603 0.058658 0.180478 0.433038 0.569663 0.643324 0.688929 0.718092 0.736635 0.748294 0.755556 0.045139 0.120545 0.358792 0.522944 0.624191 0.688877 0.730428 0.756972 0.773814 0.784439
626.884422 0.058354 0.185207 0.440870 0.573456 0.643234 0.686258 0.713775 0.731266 0.742250 0.749080 0.044961 0.124844 0.367320 0.530670 0.630398 0.693827 0.734419 0.760256 0.776593 0.786865
629.648241 0.058047 0.190026 0.448504 0.576462 0.642041 0.682358 0.708181 0.724605 0.734911 0.741309 0.044782 0.129173 0.375759 0.538055 0.636214 0.698424 0.738106 0.763279 0.779143 0.789084
632.412060 0.057738 0.194937 0.455902 0.578578 0.639621 0.677094 0.701173 0.716512 0.726137 0.732104 0.044604 0.133540 0.384101 0.545077 0.641628 0.702672 0.741509 0.766069 0.781495 0.791131
635.175879 0.057430 0.199941 0.463015 0.579687 0.635827 0.670311 0.692593 0.706830 0.715768 0.721305 0.044421 0.137950 0.392326 0.551689 0.646603 0.706553 0.744621 0.768626 0.783656 0.793014
637.939698 0.057124 0.205041 0.469790 0.579654 0.630492 0.661831 0.682258 0.695374 0.703621 0.708727 0.044228 0.142389 0.400361 0.557774 0.651024 0.709964 0.747350 0.770867 0.785547 0.794658
640.703518 0.056823 0.210239 0.476161 0.578321 0.623425 0.651452 0.669962 0.681935 0.689485 0.694161 0.044028 0.146878 0.408215 0.563317 0.654897 0.712941 0.749754 0.772864 0.787248 0.796147
643.467337 0.056527 0.215539 0.482050 0.575510 0.614409 0.638943 0.655471 0.666278 0.673124 0.677368 0.043816 0.151404 0.415803 0.568177 0.658087 0.715369 0.751738 0.774534 0.788684 0.797410
646.231156 0.056236 0.220940 0.487366 0.571013 0.603200 0.624051 0.638525 0.648141 0.654275 0.658086 0.043597 0.155999 0.423145 0.572342 0.660610 0.717306 0.753390 0.775984 0.789975 0.798576
648.994975 0.055950 0.226450 0.492001 0.564599 0.589532 0.606496 0.618842 0.627240 0.632652 0.636028 0.043367 0.160634 0.430093 0.575581 0.662238 0.718546 0.754528 0.777052 0.790968 0.799498
651.758794 0.055668 0.232070 0.495827 0.556011 0.573114 0.585983 0.596124 0.603275 0.607957 0.610894 0.043122 0.165316 0.436573 0.577747 0.662846 0.719010 0.755106 0.777713 0.791655 0.800177
654.522613 0.055393 0.237801 0.498696 0.544964 0.553650 0.562215 0.570074 0.575950 0.579892 0.582388 0.042870 0.170076 0.442560 0.578757 0.662388 0.718705 0.755181 0.778056 0.792144 0.800732
657.286432 0.055121 0.243650 0.500432 0.531162 0.530847 0.534917 0.540425 0.545001 0.548194 0.550247 0.042603 0.174886 0.447858 0.578308 0.660579 0.717391 0.754546 0.777903 0.792274 0.801015
660.050251 0.054856 0.249617 0.500833 0.514303 0.504453 0.503873 0.506979 0.510239 0.512677 0.514288 0.042329 0.179765 0.452367 0.576221 0.657283 0.714992 0.753182 0.777269 0.792086 0.801081
662.814070 0.054592 0.255705 0.499668 0.494103 0.474294 0.468982 0.469673 0.471616 0.473305 0.474476 0.042047 0.184716 0.455918 0.572245 0.652297 0.711368 0.750994 0.776096 0.791544 0.800908
665.577889 0.054329 0.261918 0.496678 0.470330 0.440338 0.430340 0.428665 0.429324 0.430283 0.431028 0.041759 0.189733 0.458300 0.566100 0.645404 0.706357 0.747868 0.774302 0.790588 0.800450
668.341709 0.054065 0.268256 0.491575 0.442847 0.402769 0.388331 0.384447 0.383908 0.384185 0.384533 0.041465 0.194820 0.459292 0.557543 0.636446 0.699858 0.743739 0.771849 0.789197 0.799699
671.105528 0.053807 0.274720 0.484053 0.411678 0.362088 0.343747 0.337966 0.336401 0.336092 0.336096 0.041168 0.199982 0.458656 0.546381 0.625348 0.691841 0.738598 0.768741 0.787384 0.798674
673.869347 0.053553 0.281310 0.473796 0.377068 0.319192 0.297881 0.290740 0.288445 0.287715 0.287469 0.040859 0.205202 0.456078 0.532439 0.612073 0.682289 0.732413 0.764930 0.785094 0.797314
676.633166 0.053309 0.288026 0.460499 0.339560 0.275443 0.252589 0.244909 0.242342 0.241451 0.241105 0.040536 0.210509 0.451334 0.515787 0.596883 0.671467 0.725405 0.760598 0.782480 0.795754
679.396985 0.053079 0.294863 0.443897 0.300052 0.232671 0.210239 0.203162 0.200975 0.200296 0.200065 0.040193 0.215864 0.444069 0.496524 0.580068 0.659611 0.717703 0.755784 0.779518 0.793933
682.160804 0.052862 0.301815 0.423802 0.259812 0.193072 0.173528 0.168494 0.167523 0.167541 0.167709 0.039832 0.221303 0.434109 0.475136 0.562334 0.647341 0.709785 0.750845 0.776483 0.792071
684.924623 0.052659 0.308877 0.400151 0.220439 0.158987 0.145129 0.143777 0.144982 0.146263 0.147165 0.039446 0.226785 0.421201 0.452199 0.544397 0.635211 0.702001 0.745967 0.773448 0.790169
687.688442 0.052468 0.316032 0.373067 0.183739 0.132589 0.127248 0.131221 0.135574 0.138697 0.140674 0.039046 0.232319 0.405303 0.428618 0.527222 0.623980 0.694893 0.741527 0.770674 0.788411
690.452261 0.052279 0.323266 0.342894 0.151528 0.115525 0.121198 0.131906 0.140240 0.145701 0.149050 0.038632 0.237869 0.386448 0.405371 0.511679 0.614251 0.688840 0.737738 0.768264 0.786834
693.216080 0.052080 0.330556 0.310251 0.125403 0.108649 0.127149 0.145550 0.158422 0.166550 0.171471 0.038228 0.243463 0.364971 0.383587 0.498636 0.606638 0.684283 0.734931 0.766480 0.785652
695.979899 0.051857 0.337873 0.276020 0.106519 0.111900 0.144137 0.170614 0.188221 0.199133 0.205692 0.037846 0.249031 0.341283 0.364158 0.488539 0.601311 0.681253 0.733065 0.765239 0.784760
698.743719 0.051593 0.345178 0.241322 0.095452 0.124387 0.170330 0.204685 0.226871 0.240465 0.248600 0.037504 0.254563 0.316099 0.347863 0.481658 0.598345 0.679779 0.732168 0.764577 0.784204
701.507538 0.051288 0.352423 0.207431 0.092165 0.144616 0.203421 0.244979 0.271303 0.287307 0.296855 0.037213 0.260013 0.290275 0.335155 0.477930 0.597556 0.679695 0.732117 0.764412 0.783927
704.271357 0.050946 0.359546 0.175643 0.096083 0.170782 0.241028 0.288808 0.318649 0.336684 0.347416 0.036963 0.265344 0.264775 0.326200 0.477088 0.598652 0.680780 0.732774 0.764666 0.783891
707.035176 0.050584 0.366469 0.147147 0.106247 0.201052 0.281004 0.333879 0.366543 0.386188 0.397854 0.036739 0.270487 0.240541 0.320867 0.478694 0.601234 0.682745 0.733940 0.765206 0.784009
709.798995 0.050218 0.373099 0.122894 0.121490 0.233762 0.321594 0.378434 0.413236 0.434080 0.446433 0.036519 0.275377 0.218426 0.318842 0.482282 0.604940 0.685350 0.735471 0.765953 0.784241
712.562814 0.049862 0.379317 0.103509 0.140597 0.267528 0.361492 0.421252 0.457568 0.479241 0.492061 0.036287 0.279915 0.199082 0.319668 0.487356 0.609403 0.688343 0.737201 0.766797 0.784512
715.326633 0.049524 0.384980 0.089268 0.162429 0.301280 0.399804 0.461572 0.498869 0.521054 0.534156 0.036033 0.283998 0.182942 0.322851 0.493499 0.614348 0.691561 0.739037 0.767690 0.784802
718.090452 0.049209 0.389919 0.080114 0.185989 0.334249 0.435979 0.498995 0.536834 0.559276 0.572507 0.035751 0.287493 0.170188 0.327892 0.500336 0.619533 0.694851 0.740883 0.768569 0.785070
720.854271 0.048919 0.393931 0.075727 0.210457 0.365916 0.469729 0.533380 0.571411 0.593908 0.607152 0.035439 0.290244 0.160793 0.334336 0.507574 0.624784 0.698111 0.742681 0.769400 0.785295
723.618090 0.048652 0.396783 0.075602 0.235193 0.395969 0.500955 0.564758 0.602712 0.625109 0.638275 0.035093 0.292061 0.154555 0.341772 0.514960 0.629946 0.701236 0.744352 0.770124 0.785427
