Simulation Summary - All Geometry/Material Combos
Timestamp: 20250314_165519
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geometry_1 - Config_1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 2.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 1.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=740.2010050251256 nm -> Rup=0.3454505787351122, Rdown=0.3117983258309379
  λ=742.964824120603 nm -> Rup=0.3543362052768614, Rdown=0.3177949591413158
  λ=745.7286432160804 nm -> Rup=0.3628944329897994, Rdown=0.3235192647175666
  λ=748.4924623115578 nm -> Rup=0.37113818273514015, Rdown=0.3289740592523893
  λ=751.2562814070352 nm -> Rup=0.37908367216349165, Rdown=0.3341828586998001
  λ=754.0201005025126 nm -> Rup=0.38674733544295725, Rdown=0.33913549109306934
  λ=756.78391959799 nm -> Rup=0.3941410756828531, Rdown=0.34387487814625317
  λ=759.5477386934674 nm -> Rup=0.40127770381224714, Rdown=0.348409637878629
  λ=762.3115577889448 nm -> Rup=0.4081720545783279, Rdown=0.35272172365987076
  λ=765.0753768844222 nm -> Rup=0.4148368982260295, Rdown=0.3568460891272373
  λ=767.8391959798995 nm -> Rup=0.42127953235290727, Rdown=0.3607959049242766
  λ=770.6030150753769 nm -> Rup=0.4275176060521179, Rdown=0.364537247796106
  λ=773.3668341708543 nm -> Rup=0.43355600444246567, Rdown=0.3681407401458741
  λ=776.1306532663317 nm -> Rup=0.43940782812075685, Rdown=0.37156497341984435
  λ=778.894472361809 nm -> Rup=0.4450799414644561, Rdown=0.37485006376095054
  λ=781.6582914572864 nm -> Rup=0.450582552155014, Rdown=0.37798532538284296
  λ=784.4221105527638 nm -> Rup=0.455923894596676, Rdown=0.38095996760789264
  λ=787.1859296482412 nm -> Rup=0.46110703620732013, Rdown=0.38383489234452034
  λ=789.9497487437186 nm -> Rup=0.46614437256781, Rdown=0.38656823246462735
  λ=792.713567839196 nm -> Rup=0.4710392814568685, Rdown=0.3891793775284456
  λ=795.4773869346734 nm -> Rup=0.475798448464973, Rdown=0.3916766108626581
  λ=798.2412060301508 nm -> Rup=0.4804270435502837, Rdown=0.3940718879233752
  λ=801.0050251256282 nm -> Rup=0.48493258910945164, Rdown=0.396350655317925
  λ=803.7688442211056 nm -> Rup=0.4893193656980742, Rdown=0.3985058356964764
  λ=806.532663316583 nm -> Rup=0.493592158458993, Rdown=0.4005997306949879
  λ=809.2964824120603 nm -> Rup=0.49775651157394707, Rdown=0.40256619104690267
  λ=812.0603015075377 nm -> Rup=0.5018134146908009, Rdown=0.40448510407076554
  λ=814.8241206030151 nm -> Rup=0.5057742035615991, Rdown=0.4062888867271867
  λ=817.5879396984925 nm -> Rup=0.5096388307896579, Rdown=0.40801182476560166
  λ=820.3517587939698 nm -> Rup=0.513412811207265, Rdown=0.40966201393214935
  λ=823.1155778894472 nm -> Rup=0.5170982578518629, Rdown=0.41123078658465523
  λ=825.8793969849246 nm -> Rup=0.5207045751295684, Rdown=0.412703434594423
  λ=828.643216080402 nm -> Rup=0.5242269205742616, Rdown=0.4141496234083394
  λ=831.4070351758794 nm -> Rup=0.5276776943607581, Rdown=0.4154900880711786
  λ=834.1708542713568 nm -> Rup=0.5310537543129918, Rdown=0.4167790616995303
  λ=836.9346733668342 nm -> Rup=0.5343577386415855, Rdown=0.418013290713282
  λ=839.6984924623116 nm -> Rup=0.5375959201415342, Rdown=0.4191861995013143
  λ=842.462311557789 nm -> Rup=0.5407687939634658, Rdown=0.42028478117961227
  λ=845.2261306532664 nm -> Rup=0.5438777275940475, Rdown=0.4213418874942179
  λ=847.9899497487438 nm -> Rup=0.5469271557859233, Rdown=0.4223300734001388
  λ=850.7537688442212 nm -> Rup=0.5499162186812048, Rdown=0.4232776540501824
  λ=853.5175879396985 nm -> Rup=0.5528479260091301, Rdown=0.42416872718797805
  λ=856.2814070351759 nm -> Rup=0.5557258121600964, Rdown=0.42500947345083784
  λ=859.0452261306533 nm -> Rup=0.5585505769581838, Rdown=0.42579211600889166
  λ=861.8090452261307 nm -> Rup=0.5613220342023031, Rdown=0.42655111851970956
  λ=864.572864321608 nm -> Rup=0.564047617284897, Rdown=0.427232912898994
  λ=867.3366834170854 nm -> Rup=0.5667228809849164, Rdown=0.4278881766967011
  λ=870.1005025125628 nm -> Rup=0.569350986223371, Rdown=0.42850679844070977
