  λ=961.3065326633166 nm -> Rup=0.42659607729488636, Rdown=0.3999239697727246
  λ=964.8241206030151 nm -> Rup=0.43111455659251746, Rdown=0.404149294171176
  λ=968.3417085427136 nm -> Rup=0.4355660244878758, Rdown=0.40833070641076236
  λ=971.8592964824121 nm -> Rup=0.4399512999290473, Rdown=0.41246832614747847
  λ=975.3768844221106 nm -> Rup=0.44427146380651983, Rdown=0.4165621510892484
  λ=978.8944723618091 nm -> Rup=0.4485279125929979, Rdown=0.4206113521129515
  λ=982.4120603015076 nm -> Rup=0.45272224543118844, Rdown=0.42461720689870713
  λ=985.9296482412061 nm -> Rup=0.4568563104259111, Rdown=0.42858027518884023
  λ=989.4472361809045 nm -> Rup=0.4609321976763022, Rdown=0.4325013210671444
  λ=992.964824120603 nm -> Rup=0.4647811379224512, Rdown=0.4361696261388105
  λ=996.4824120603015 nm -> Rup=0.46819850946463587, Rdown=0.4393296691530246
  λ=1000.0 nm -> Rup=0.4715693759652852, Rdown=0.44245298162357877
----------------------------------------
Combo name: c30_g2_m10 - none
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 6.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'None'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'None'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=300.0 nm -> Rup=0.0, Rdown=0.0
  λ=303.5175879396985 nm -> Rup=0.0, Rdown=0.0
  λ=307.035175879397 nm -> Rup=0.0, Rdown=0.0
  λ=310.5527638190955 nm -> Rup=0.0, Rdown=0.0
  λ=314.07035175879395 nm -> Rup=0.0, Rdown=0.0
  λ=317.58793969849245 nm -> Rup=0.0, Rdown=0.0
  λ=321.10552763819095 nm -> Rup=0.0, Rdown=1.1278117680915556e-31
  λ=324.62311557788945 nm -> Rup=0.0, Rdown=0.0
  λ=328.14070351758795 nm -> Rup=0.0, Rdown=0.0
  λ=331.65829145728645 nm -> Rup=0.0, Rdown=0.0
  λ=335.1758793969849 nm -> Rup=0.0, Rdown=0.0
  λ=338.6934673366834 nm -> Rup=0.0, Rdown=1.1609211859372972e-31
  λ=342.2110552763819 nm -> Rup=0.0, Rdown=0.0
  λ=345.7286432160804 nm -> Rup=0.0, Rdown=1.1730540094046853e-31
  λ=349.2462311557789 nm -> Rup=0.0, Rdown=0.0
  λ=352.7638190954774 nm -> Rup=0.0, Rdown=1.1846058779469698e-31
  λ=356.2814070351759 nm -> Rup=0.0, Rdown=1.190174375379831e-31
  λ=359.7989949748744 nm -> Rup=0.0, Rdown=0.0
  λ=363.31658291457285 nm -> Rup=0.0, Rdown=0.0
  λ=366.83417085427135 nm -> Rup=0.0, Rdown=0.0
  λ=370.35175879396985 nm -> Rup=0.0, Rdown=0.0
  λ=373.86934673366835 nm -> Rup=0.0, Rdown=0.0
  λ=377.38693467336685 nm -> Rup=0.0, Rdown=0.0
  λ=380.9045226130653 nm -> Rup=0.0, Rdown=0.0
  λ=384.4221105527638 nm -> Rup=0.0, Rdown=0.0
  λ=387.9396984924623 nm -> Rup=0.0, Rdown=0.0
  λ=391.4572864321608 nm -> Rup=0.0, Rdown=0.0
  λ=394.9748743718593 nm -> Rup=0.0, Rdown=0.0
  λ=398.4924623115578 nm -> Rup=0.0, Rdown=0.0
  λ=402.0100502512563 nm -> Rup=0.0, Rdown=0.0
  λ=405.5276381909548 nm -> Rup=0.0, Rdown=1.2557634981451522e-31
  λ=409.0452261306533 nm -> Rup=0.0, Rdown=1.2596905033550947e-31
  λ=412.56281407035175 nm -> Rup=0.0, Rdown=0.0
  λ=416.08040201005025 nm -> Rup=0.0, Rdown=0.0
  λ=419.59798994974875 nm -> Rup=0.0, Rdown=0.0
  λ=423.11557788944725 nm -> Rup=0.0, Rdown=0.0
  λ=426.63316582914575 nm -> Rup=0.0, Rdown=0.0
  λ=430.1507537688442 nm -> Rup=0.0, Rdown=1.281517868933318e-31
  λ=433.6683417085427 nm -> Rup=0.0, Rdown=0.0
  λ=437.1859296482412 nm -> Rup=0.0, Rdown=1.2881852305331645e-31
  λ=440.7035175879397 nm -> Rup=0.0, Rdown=0.0
  λ=444.2211055276382 nm -> Rup=0.0, Rdown=0.0
  λ=447.7386934673367 nm -> Rup=0.0, Rdown=0.0
  λ=451.2562814070352 nm -> Rup=0.0, Rdown=0.0
  λ=454.7738693467337 nm -> Rup=0.0, Rdown=0.0
  λ=458.2914572864322 nm -> Rup=0.0, Rdown=1.306579316683611e-31
  λ=461.80904522613065 nm -> Rup=0.0, Rdown=0.0
  λ=465.32663316582915 nm -> Rup=0.0, Rdown=0.0
  λ=468.84422110552765 nm -> Rup=0.0, Rdown=0.0
  λ=472.3618090452261 nm -> Rup=0.0, Rdown=0.0
  λ=475.8793969849246 nm -> Rup=0.0, Rdown=0.0
  λ=479.3969849246231 nm -> Rup=0.0, Rdown=0.0
  λ=482.9145728643216 nm -> Rup=0.0, Rdown=0.0
  λ=486.4321608040201 nm -> Rup=0.0, Rdown=0.0
  λ=489.9497487437186 nm -> Rup=0.0, Rdown=0.0
  λ=493.4673366834171 nm -> Rup=0.0, Rdown=0.0
  λ=496.9849246231156 nm -> Rup=0.0, Rdown=0.0
  λ=500.5025125628141 nm -> Rup=0.0, Rdown=0.0
  λ=504.0201005025126 nm -> Rup=0.0, Rdown=0.0
  λ=507.53768844221105 nm -> Rup=0.0, Rdown=0.0
  λ=511.05527638190955 nm -> Rup=0.0, Rdown=0.0
  λ=514.572864321608 nm -> Rup=0.0, Rdown=0.0
  λ=518.0904522613066 nm -> Rup=0.0, Rdown=1.3480942869545365e-31
  λ=521.608040201005 nm -> Rup=0.0, Rdown=0.0
  λ=525.1256281407035 nm -> Rup=0.0, Rdown=0.0
  λ=528.643216080402 nm -> Rup=0.0, Rdown=0.0
  λ=532.1608040201005 nm -> Rup=0.0, Rdown=0.0
  λ=535.678391959799 nm -> Rup=0.0, Rdown=0.0
  λ=539.1959798994975 nm -> Rup=0.0, Rdown=0.0
  λ=542.713567839196 nm -> Rup=0.0, Rdown=0.0
  λ=546.2311557788945 nm -> Rup=0.0, Rdown=0.0
  λ=549.748743718593 nm -> Rup=0.0, Rdown=0.0
  λ=553.2663316582915 nm -> Rup=0.0, Rdown=0.0
