Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_153859
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'Standard', 'material': 'Air'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=828.140703517588 nm -> Rup=0.37501215779010033, Rdown=0.38429204871075545
  λ=829.6482412060302 nm -> Rup=0.37426123098259434, Rdown=0.38373249476441984
  λ=831.1557788944724 nm -> Rup=0.373366829433762, Rdown=0.38307002913791205
  λ=832.6633165829146 nm -> Rup=0.3722364584921833, Rdown=0.38221827927268776
  λ=834.1708542713568 nm -> Rup=0.3707838375632038, Rdown=0.3810954965683047
  λ=835.678391959799 nm -> Rup=0.3689304453906989, Rdown=0.3796258232513708
  λ=837.1859296482412 nm -> Rup=0.3666066118800445, Rdown=0.3777404227282566
  λ=838.6934673366834 nm -> Rup=0.3637522997017088, Rdown=0.3753784316236964
  λ=840.2010050251256 nm -> Rup=0.36031772798681155, Rdown=0.3724875697652886
  λ=841.7085427135678 nm -> Rup=0.35626387085360584, Rdown=0.3690246309357536
  λ=843.21608040201 nm -> Rup=0.3515627858011206, Rdown=0.36495705824491687
  λ=844.7236180904523 nm -> Rup=0.3461980451434475, Rdown=0.3602621129418031
  λ=846.2311557788945 nm -> Rup=0.34016498203808465, Rdown=0.3549277558365751
  λ=847.7386934673367 nm -> Rup=0.3334708897424197, Rdown=0.34895298428801913
  λ=849.2462311557789 nm -> Rup=0.3261351687997427, Rdown=0.3423482645125195
  λ=850.7537688442211 nm -> Rup=0.31818913615567296, Rdown=0.33513516071990174
  λ=852.2613065326633 nm -> Rup=0.3096758402295965, Rdown=0.32734652403383113
  λ=853.7688442211055 nm -> Rup=0.30064962989283023, Rdown=0.3190263549417678
  λ=855.2763819095478 nm -> Rup=0.29117537968325574, Rdown=0.31022915302050996
  λ=856.78391959799 nm -> Rup=0.2813274631086145, Rdown=0.30101910901351203
  λ=858.2914572864322 nm -> Rup=0.2711884918417459, Rdown=0.29146857721719677
  λ=859.7989949748744 nm -> Rup=0.26084756060225145, Rdown=0.28165804130092864
