Simulation Summary - All Geometry/Material Combos
Timestamp: 20250319_132712
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 100

---- COMBINATIONS ----

Combo name: Geom_S2 - S2
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 3.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Al'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=828.643216080402 nm -> Rup=0.993935685705299, Rdown=1.000230876859764
  λ=831.4070351758794 nm -> Rup=0.9946022552872085, Rdown=1.0009652358113676
  λ=834.1708542713568 nm -> Rup=0.9933121036216348, Rdown=0.9989095908480745
  λ=836.9346733668342 nm -> Rup=0.9939503984164122, Rdown=0.9996509904515887
  λ=839.6984924623116 nm -> Rup=0.9949534669118962, Rdown=1.000914299221988
  λ=842.462311557789 nm -> Rup=0.9957499180895956, Rdown=1.0018685482902328
  λ=845.2261306532664 nm -> Rup=0.9934033218829538, Rdown=0.9983167539209555
  λ=847.9899497487438 nm -> Rup=0.9945637665364248, Rdown=0.9998638525112978
  λ=850.7537688442212 nm -> Rup=0.9962106347451667, Rdown=1.0021051399499226
  λ=853.5175879396985 nm -> Rup=0.9968854289491803, Rdown=1.002899203369431
  λ=856.2814070351759 nm -> Rup=0.9927749446580021, Rdown=0.9967910249996497
  λ=859.0452261306533 nm -> Rup=0.9948154084565682, Rdown=0.999690139441115
  λ=861.8090452261307 nm -> Rup=0.9978633083362525, Rdown=1.00404563507172
  λ=864.572864321608 nm -> Rup=1.0003368843161515, Rdown=1.0074943602699502
  λ=867.3366834170854 nm -> Rup=0.9901116335074037, Rdown=0.9923339990512428
  λ=870.1005025125628 nm -> Rup=0.9932763936000486, Rdown=0.9969922261514642
  λ=872.8643216080402 nm -> Rup=0.9991427682926642, Rdown=1.0056571683720799
  λ=875.6281407035176 nm -> Rup=1.0055357658339348, Rdown=1.015000694825986
  λ=878.391959798995 nm -> Rup=0.9808948381549392, Rdown=0.9781283447880877
  λ=881.1557788944724 nm -> Rup=0.9851991125848283, Rdown=0.9845317564816619
  λ=883.9195979899498 nm -> Rup=0.9947021958554872, Rdown=0.9989186067725213
  λ=886.6834170854272 nm -> Rup=1.009082729902052, Rdown=1.0207537946627567
  λ=889.4472361809046 nm -> Rup=1.0252246887807164, Rdown=1.0451441094722338
  λ=892.211055276382 nm -> Rup=0.9738143173149955, Rdown=0.9672173534246706
  λ=894.9748743718593 nm -> Rup=0.9685018256062975, Rdown=0.9585108303036262
  λ=897.7386934673367 nm -> Rup=0.988050647973784, Rdown=0.9893850648105359
  λ=900.5025125628141 nm -> Rup=1.0392719788177498, Rdown=1.0695193711324824
  λ=903.2663316582915 nm -> Rup=1.0715065884435186, Rdown=1.119118847551535
  λ=906.0301507537688 nm -> Rup=0.9742350969309391, Rdown=0.9663799862211983
  λ=908.7939698492462 nm -> Rup=0.8490666198512272, Rdown=0.7742402817254805
  λ=911.5577889447236 nm -> Rup=0.8566697980973141, Rdown=0.7942348285479282
  λ=914.321608040201 nm -> Rup=0.9953656839623495, Rdown=1.0269615190301982
  λ=917.0854271356784 nm -> Rup=1.4584947320964852, Rdown=1.8288839372497558
  λ=919.8492462311558 nm -> Rup=27.417287231606537, Rdown=59.988562059726995
  λ=922.6130653266332 nm -> Rup=0.24696514034823544, Rdown=0.03942576295257138
  λ=925.3768844221106 nm -> Rup=0.4720559564424373, Rdown=0.28792668660598686
  λ=928.140703517588 nm -> Rup=0.5885083215046157, Rdown=0.467588246375611
  λ=930.9045226130654 nm -> Rup=0.6438784038079459, Rdown=0.5833885041922241
  λ=933.6683417085428 nm -> Rup=0.6236491818805582, Rdown=0.5991960419181757
  λ=936.4321608040202 nm -> Rup=0.5460892118406139, Rdown=0.5035050830572357
  λ=939.1959798994975 nm -> Rup=0.5082393571260244, Rdown=0.42800145905069675
  λ=941.9597989949749 nm -> Rup=0.5225646259633856, Rdown=0.4265375889369305
  λ=944.7236180904523 nm -> Rup=0.549962185095061, Rdown=0.4563532474268663
  λ=947.4874371859297 nm -> Rup=0.5715255447497822, Rdown=0.4866957735335457
  λ=950.251256281407 nm -> Rup=0.5832915887400162, Rdown=0.506478286772678
  λ=953.0150753768844 nm -> Rup=0.5877752595263388, Rdown=0.5155131740694818
  λ=955.7788944723618 nm -> Rup=0.5896665796648894, Rdown=0.5190159801494312
  λ=958.5427135678392 nm -> Rup=0.5924544698891738, Rdown=0.5224032402725228
  λ=961.3065326633166 nm -> Rup=0.5970696276136777, Rdown=0.5281132125390937
  λ=964.070351758794 nm -> Rup=0.6027334808935084, Rdown=0.5358048198793478
  λ=966.8341708542714 nm -> Rup=0.608307845570754, Rdown=0.5440399031538017
  λ=969.5979899497488 nm -> Rup=0.6130412544214784, Rdown=0.551557329256912
  λ=972.3618090452262 nm -> Rup=0.6167035791493831, Rdown=0.557733993677503
  λ=975.1256281407036 nm -> Rup=0.6194215818164808, Rdown=0.5625176025311316
  λ=977.8894472361809 nm -> Rup=0.621454705938857, Rdown=0.5661591528716533
  λ=980.6532663316583 nm -> Rup=0.6230353035290144, Rdown=0.5689623897314208
  λ=983.4170854271357 nm -> Rup=0.6243068359592324, Rdown=0.5711473087507635
  λ=986.1809045226131 nm -> Rup=0.6253351047147878, Rdown=0.5728269849253212
  λ=988.9447236180905 nm -> Rup=0.6261485288372244, Rdown=0.5740475561694426
  λ=991.7085427135679 nm -> Rup=0.6267740334969999, Rdown=0.5748398515025174
  λ=994.4723618090453 nm -> Rup=0.6272548929001718, Rdown=0.5752535406999606
  λ=997.2361809045226 nm -> Rup=0.6276517093338804, Rdown=0.5753674195373115
  λ=1000.0 nm -> Rup=0.6280339700992854, Rdown=0.5752824705348292
----------------------------------------
