Simulation Summary - All Geometry/Material Combos
Timestamp: 20250410_175721
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S2_diel=0_M=0_F=1 - Mat_S2_Tf=1_Pf=None_Pd=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 3.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Aluminium'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=651.7587939698492 nm -> Rup=0.3708191419863037, Rdown=0.34711844017613874
  λ=654.5226130653266 nm -> Rup=0.37653759128915976, Rdown=0.3509940380850659
  λ=657.286432160804 nm -> Rup=0.3820225544078957, Rdown=0.35469455413748135
  λ=660.0502512562814 nm -> Rup=0.38737827746803927, Rdown=0.358235001409463
  λ=662.8140703517588 nm -> Rup=0.3927173309467245, Rdown=0.36165603144449676
  λ=665.5778894472362 nm -> Rup=0.39812490866900435, Rdown=0.36501042257984345
  λ=668.3417085427136 nm -> Rup=0.40363329578673945, Rdown=0.3683442428838575
  λ=671.105527638191 nm -> Rup=0.40921941281979, Rdown=0.37168268292525775
  λ=673.8693467336684 nm -> Rup=0.4148224011527923, Rdown=0.37502639069718047
  λ=676.6331658291458 nm -> Rup=0.4203679179639358, Rdown=0.3783567534531669
  λ=679.3969849246231 nm -> Rup=0.4257878271735381, Rdown=0.381644873208279
  λ=682.1608040201005 nm -> Rup=0.43103159869672947, Rdown=0.38486007541064876
  λ=684.9246231155779 nm -> Rup=0.4360709074614259, Rdown=0.3879763840455485
  λ=687.6884422110553 nm -> Rup=0.4408996748354789, Rdown=0.3909768300260564
  λ=690.4522613065327 nm -> Rup=0.44553031892609873, Rdown=0.3938553925531459
  λ=693.2160804020101 nm -> Rup=0.44998612338665706, Rdown=0.3966159229338656
  λ=695.9798994974874 nm -> Rup=0.4542908805901188, Rdown=0.39926788547469055
  λ=698.7437185929648 nm -> Rup=0.45845923349209566, Rdown=0.4018203547394381
  λ=701.5075376884422 nm -> Rup=0.46249156547634457, Rdown=0.40427694154063304
  λ=704.2713567839196 nm -> Rup=0.46637468981490937, Rdown=0.4066336578701068
  λ=707.035175879397 nm -> Rup=0.47008630800386303, Rdown=0.40887971418540275
  λ=709.7989949748744 nm -> Rup=0.4736000899539798, Rdown=0.41099976674945077
  λ=712.5628140703518 nm -> Rup=0.47688940751920256, Rdown=0.41297609676614794
  λ=715.3266331658292 nm -> Rup=0.4799294857137142, Rdown=0.41479000275762956
  λ=718.0904522613066 nm -> Rup=0.4826987861394812, Rdown=0.41642245306383685
  λ=720.854271356784 nm -> Rup=0.48518070152199205, Rdown=0.4178544525350126
  λ=723.6180904522613 nm -> Rup=0.487366444806189, Rdown=0.41906771328681086
  λ=726.3819095477387 nm -> Rup=0.48925951416449787, Rdown=0.4200462068568955
  λ=729.1457286432161 nm -> Rup=0.4908812003847328, Rdown=0.42077898573858696
  λ=731.9095477386935 nm -> Rup=0.49227519663611496, Rdown=0.4212641334385318
  λ=734.6733668341708 nm -> Rup=0.49350794596677067, Rdown=0.4215127488307592
  λ=737.4371859296482 nm -> Rup=0.49466131474792474, Rdown=0.421550864530107
