  λ=877.3869346733668 nm -> Rup=0.26521980542071893, Rdown=0.18105323433433543
  λ=879.3969849246231 nm -> Rup=0.26878427396364163, Rdown=0.18331701354133742
  λ=881.4070351758794 nm -> Rup=0.27228954033846414, Rdown=0.1855374735129077
  λ=883.4170854271356 nm -> Rup=0.2757334851659237, Rdown=0.18771816591894014
  λ=885.427135678392 nm -> Rup=0.27911306640141587, Rdown=0.18985211675298114
  λ=887.4371859296482 nm -> Rup=0.2824256781104149, Rdown=0.19193769939323263
  λ=889.4472361809045 nm -> Rup=0.2856662089852049, Rdown=0.19397334306486946
  λ=891.4572864321608 nm -> Rup=0.2888103881369176, Rdown=0.19594425136360713
  λ=893.467336683417 nm -> Rup=0.2918659661209029, Rdown=0.197856878868908
  λ=895.4773869346734 nm -> Rup=0.294834429049409, Rdown=0.1997112366964018
  λ=897.4874371859296 nm -> Rup=0.2977082087439068, Rdown=0.20150691103598029
  λ=899.4974874371859 nm -> Rup=0.30048175937902677, Rdown=0.20323658383718676
  λ=901.5075376884422 nm -> Rup=0.30314664234773336, Rdown=0.20489400276067204
  λ=903.5175879396984 nm -> Rup=0.3056979377300531, Rdown=0.20647272518946286
  λ=905.5276381909548 nm -> Rup=0.30811689748217225, Rdown=0.20796953432535475
  λ=907.537688442211 nm -> Rup=0.3104022221615973, Rdown=0.20937239778790206
  λ=909.5477386934673 nm -> Rup=0.3125575593251141, Rdown=0.21068753035384574
  λ=911.5577889447236 nm -> Rup=0.3145855164226351, Rdown=0.21191146048255813
  λ=913.5678391959799 nm -> Rup=0.31648761253385976, Rdown=0.21304507832435057
  λ=915.5778894472362 nm -> Rup=0.3182768638459104, Rdown=0.21408466398481188
  λ=917.5879396984924 nm -> Rup=0.31996607374229086, Rdown=0.2150341696157363
  λ=919.5979899497487 nm -> Rup=0.3215708640495914, Rdown=0.2159080206205811
  λ=921.608040201005 nm -> Rup=0.32310780463350164, Rdown=0.21668169647228258
  λ=923.6180904522613 nm -> Rup=0.3246236951083257, Rdown=0.21741994150319752
  λ=925.6281407035176 nm -> Rup=0.3261577258456361, Rdown=0.21811812811368944
  λ=927.6381909547738 nm -> Rup=0.32774796959340324, Rdown=0.21881055181686007
  λ=929.6482412060301 nm -> Rup=0.32942651717372723, Rdown=0.21951409936165986
  λ=931.6582914572864 nm -> Rup=0.3312245321294294, Rdown=0.22023352015391626
  λ=933.6683417085427 nm -> Rup=0.33316368177517114, Rdown=0.2209916201027785
  λ=935.678391959799 nm -> Rup=0.33524322990992894, Rdown=0.22180850885515532
  λ=937.6884422110552 nm -> Rup=0.3374787072000541, Rdown=0.22267961737157882
  λ=939.6984924623116 nm -> Rup=0.3398742927322378, Rdown=0.2236144232710305
  λ=941.7085427135678 nm -> Rup=0.3424201294500357, Rdown=0.22461215899530276
  λ=943.7185929648241 nm -> Rup=0.34510058956418843, Rdown=0.22568055659496172
  λ=945.7286432160804 nm -> Rup=0.34790150475916526, Rdown=0.22680876121679638
  λ=947.7386934673366 nm -> Rup=0.3508019628256306, Rdown=0.22798951274383
  λ=949.748743718593 nm -> Rup=0.35378139608714293, Rdown=0.22919828982036344
  λ=951.7587939698492 nm -> Rup=0.35680633738839057, Rdown=0.23044096880162454
  λ=953.7688442211055 nm -> Rup=0.3598801813333073, Rdown=0.23170063380850225
  λ=955.7788944723618 nm -> Rup=0.36298818916604136, Rdown=0.2329728626462384
  λ=957.788944723618 nm -> Rup=0.36611769713500375, Rdown=0.23425542111714726
  λ=959.7989949748744 nm -> Rup=0.3692592278461421, Rdown=0.23554860048344864
  λ=961.8090452261306 nm -> Rup=0.37240186874421083, Rdown=0.23684087407602775
  λ=963.8190954773869 nm -> Rup=0.3755400966124401, Rdown=0.23812557221849123
  λ=965.8291457286432 nm -> Rup=0.37866291454060297, Rdown=0.23939888354648783
  λ=967.8391959798994 nm -> Rup=0.38176310446688644, Rdown=0.24064767417404048
  λ=969.8492462311558 nm -> Rup=0.3848495758441701, Rdown=0.24187661191320983
  λ=971.859296482412 nm -> Rup=0.38791656539174246, Rdown=0.24309109365411086
  λ=973.8693467336683 nm -> Rup=0.39096386400960487, Rdown=0.2442913545145741
  λ=975.8793969849246 nm -> Rup=0.393992889680319, Rdown=0.24546619221227509
  λ=977.8894472361809 nm -> Rup=0.39699994531090627, Rdown=0.24662951947723066
  λ=979.8994974874372 nm -> Rup=0.39998630637723703, Rdown=0.2477648271655715
  λ=981.9095477386934 nm -> Rup=0.40294064347441555, Rdown=0.24887764260680356
  λ=983.9195979899497 nm -> Rup=0.40586843859993166, Rdown=0.2499630604754271
  λ=985.929648241206 nm -> Rup=0.4087744152720751, Rdown=0.2510287252974258
  λ=987.9396984924623 nm -> Rup=0.4116633771940267, Rdown=0.25205988064551654
  λ=989.9497487437186 nm -> Rup=0.4145333394541928, Rdown=0.25307186538871557
  λ=991.9597989949748 nm -> Rup=0.41738389123124736, Rdown=0.2540732762081543
  λ=993.9698492462311 nm -> Rup=0.4202175158314877, Rdown=0.25503814131404806
  λ=995.9798994974874 nm -> Rup=0.4230355526416323, Rdown=0.2559886398273781
  λ=997.9899497487437 nm -> Rup=0.42582112258861865, Rdown=0.25690620341879755
  λ=1000.0 nm -> Rup=0.42858577675804554, Rdown=0.25779774008128825
----------------------------------------
