  λ=590.2010050251256 nm -> Rup=0.4636113778916411, Rdown=0.44417692513781154
  λ=593.9698492462312 nm -> Rup=0.4714225403137005, Rdown=0.4527944621126245
  λ=597.7386934673367 nm -> Rup=0.47948877016069325, Rdown=0.46169487673073
  λ=601.5075376884422 nm -> Rup=0.4878140561397624, Rdown=0.47088909912427934
  λ=605.2763819095478 nm -> Rup=0.496400106090179, Rdown=0.4803842002536855
  λ=609.0452261306532 nm -> Rup=0.5052550514453034, Rdown=0.490182345116314
  λ=612.8140703517588 nm -> Rup=0.5143900904645482, Rdown=0.500298575377464
  λ=616.5829145728644 nm -> Rup=0.523810043948111, Rdown=0.5107416389418272
  λ=620.3517587939698 nm -> Rup=0.5336783820393493, Rdown=0.5216666373204674
  λ=624.1206030150754 nm -> Rup=0.5448619646667093, Rdown=0.5339067274311661
  λ=627.8894472361809 nm -> Rup=0.555913614432698, Rdown=0.5461572717878451
  λ=631.6582914572864 nm -> Rup=0.5668139608121061, Rdown=0.558408465197631
  λ=635.427135678392 nm -> Rup=0.5775365006364811, Rdown=0.5706481040389855
  λ=639.1959798994975 nm -> Rup=0.5880523492789161, Rdown=0.5828625995341876
  λ=642.964824120603 nm -> Rup=0.5983364382211315, Rdown=0.5950390901843283
  λ=646.7336683417086 nm -> Rup=0.608369948003675, Rdown=0.6071638892628055
  λ=650.5025125628141 nm -> Rup=0.6181365463046711, Rdown=0.6192228747178896
  λ=654.2713567839196 nm -> Rup=0.6276149802743195, Rdown=0.6312046515791024
  λ=658.0402010050252 nm -> Rup=0.6367764198044377, Rdown=0.6431015564046837
  λ=661.8090452261306 nm -> Rup=0.645589027402456, Rdown=0.6549001649764897
  λ=665.5778894472362 nm -> Rup=0.6540227038310972, Rdown=0.6665850490019404
  λ=669.3467336683417 nm -> Rup=0.6620512113329637, Rdown=0.6781481819538702
  λ=673.1155778894472 nm -> Rup=0.6696527272166154, Rdown=0.6895786554739589
  λ=676.8844221105528 nm -> Rup=0.6768048910181115, Rdown=0.7008672629272996
  λ=680.6532663316583 nm -> Rup=0.6834756077617934, Rdown=0.7120055045178438
  λ=684.4221105527638 nm -> Rup=0.6896198184169445, Rdown=0.7229844179711017
  λ=688.1909547738694 nm -> Rup=0.6951851270814251, Rdown=0.7337954004928225
  λ=691.9597989949749 nm -> Rup=0.7001157139312301, Rdown=0.744425661371529
  λ=695.7286432160804 nm -> Rup=0.7043502829299342, Rdown=0.7548695482638061
  λ=699.497487437186 nm -> Rup=0.7078220976039875, Rdown=0.7651170179611901
  λ=703.2663316582914 nm -> Rup=0.7104616450955893, Rdown=0.7751597590305251
  λ=707.035175879397 nm -> Rup=0.7121912118239068, Rdown=0.7849897263621076
  λ=710.8040201005025 nm -> Rup=0.7102916202139166, Rdown=0.7916988999278675
  λ=714.572864321608 nm -> Rup=0.705738651951206, Rdown=0.7964299032662008
  λ=718.3417085427136 nm -> Rup=0.7000626269262615, Rdown=0.8009914275990456
  λ=722.1105527638191 nm -> Rup=0.6931323862448977, Rdown=0.8053723785530738
  λ=725.8793969849246 nm -> Rup=0.6848076296128721, Rdown=0.809557469317291
  λ=729.6482412060302 nm -> Rup=0.6749281005587392, Rdown=0.8135317398940124
  λ=733.4170854271357 nm -> Rup=0.6633115078566553, Rdown=0.8172776953913155
  λ=737.1859296482412 nm -> Rup=0.649768536063168, Rdown=0.8207683554738499
  λ=740.9547738693468 nm -> Rup=0.6341215740500926, Rdown=0.8239704770391012
  λ=744.7236180904522 nm -> Rup=0.6162097682903278, Rdown=0.8268538120523682
  λ=748.4924623115578 nm -> Rup=0.5958824759539306, Rdown=0.8293848904166002
  λ=752.2613065326634 nm -> Rup=0.5730089205485063, Rdown=0.8315196920633766
  λ=756.0301507537688 nm -> Rup=0.54753196490219, Rdown=0.8332073264425421
  λ=759.7989949748744 nm -> Rup=0.5195559436739526, Rdown=0.8344042050737864
  λ=763.5678391959799 nm -> Rup=0.48942954975217146, Rdown=0.8350745039406171
