Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_115039
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: test - test
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.5, 'thick_func': 1.0, 'thick_diel': 1.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 2.0, 'thick_accroche': 1.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'None'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'None'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=646.2311557788945 nm -> Rup=0.00011486194534447877, Rdown=0.00011486194534448063
  λ=648.9949748743719 nm -> Rup=0.00011388609074709643, Rdown=0.00011388609074709758
  λ=651.7587939698492 nm -> Rup=0.00011292261812231231, Rdown=0.00011292261812231645
  λ=654.5226130653266 nm -> Rup=0.00011197131890282329, Rdown=0.00011197131890282318
  λ=657.286432160804 nm -> Rup=0.00011103198889384489, Rdown=0.0001110319888938461
  λ=660.0502512562814 nm -> Rup=0.00011010442816362755, Rdown=0.00011010442816362869
  λ=662.8140703517588 nm -> Rup=0.00010918844093707805, Rdown=0.00010918844093707697
  λ=665.5778894472362 nm -> Rup=0.00010828383549251384, Rdown=0.00010828383549251009
  λ=668.3417085427136 nm -> Rup=0.00010739042406137857, Rdown=0.00010739042406137828
  λ=671.105527638191 nm -> Rup=0.0001065080227308501, Rdown=0.00010650802273084838
  λ=673.8693467336684 nm -> Rup=0.00010563645134921845, Rdown=0.00010563645134921895
  λ=676.6331658291458 nm -> Rup=0.00010477553343398256, Rdown=0.00010477553343398153
  λ=679.3969849246231 nm -> Rup=0.00010392509608253846, Rdown=0.00010392509608253672
  λ=682.1608040201005 nm -> Rup=0.00010308496988540546, Rdown=0.00010308496988540154
  λ=684.9246231155779 nm -> Rup=0.00010225498884188831, Rdown=0.00010225498884188575
  λ=687.6884422110553 nm -> Rup=0.00010143499027811139, Rdown=0.00010143499027811276
  λ=690.4522613065327 nm -> Rup=0.00010062481476734118, Rdown=0.00010062481476734115
  λ=693.2160804020101 nm -> Rup=9.982430605251489e-05, Rdown=9.982430605251616e-05
  λ=695.9798994974874 nm -> Rup=9.903331097093983e-05, Rdown=9.90333109709401e-05
  λ=698.7437185929648 nm -> Rup=9.82516793810456e-05, Rdown=9.825167938104569e-05
  λ=701.5075376884422 nm -> Rup=9.747926409116992e-05, Rdown=9.74792640911679e-05
  λ=704.2713567839196 nm -> Rup=9.671592079028493e-05, Rdown=9.67159207902862e-05
  λ=707.035175879397 nm -> Rup=9.59615079806249e-05, Rdown=9.596150798062456e-05
  λ=709.7989949748744 nm -> Rup=9.52158869121265e-05, Rdown=9.521588691212327e-05
  λ=712.5628140703518 nm -> Rup=9.447892151865518e-05, Rdown=9.447892151865629e-05
  λ=715.3266331658292 nm -> Rup=9.375047835597231e-05, Rdown=9.375047835597256e-05
  λ=718.0904522613066 nm -> Rup=9.303042654131535e-05, Rdown=9.303042654131344e-05
  λ=720.854271356784 nm -> Rup=9.23186376946476e-05, Rdown=9.231863769464956e-05
  λ=723.6180904522613 nm -> Rup=9.161498588146045e-05, Rdown=9.161498588146015e-05
  λ=726.3819095477387 nm -> Rup=9.091934755707028e-05, Rdown=9.091934755707058e-05
  λ=729.1457286432161 nm -> Rup=9.023160151242355e-05, Rdown=9.023160151242088e-05
  λ=731.9095477386935 nm -> Rup=8.955162882130386e-05, Rdown=8.955162882130308e-05
  λ=734.6733668341708 nm -> Rup=8.887931278894877e-05, Rdown=8.887931278895067e-05
  λ=737.4371859296482 nm -> Rup=8.821453890199497e-05, Rdown=8.821453890199274e-05
  λ=740.2010050251256 nm -> Rup=8.755719477972127e-05, Rdown=8.755719477971936e-05
  λ=742.964824120603 nm -> Rup=8.690717012658651e-05, Rdown=8.690717012658639e-05
  λ=745.7286432160804 nm -> Rup=8.626435668597023e-05, Rdown=8.626435668596807e-05
  λ=748.4924623115578 nm -> Rup=8.562864819510739e-05, Rdown=8.562864819510703e-05
  λ=751.2562814070352 nm -> Rup=8.49999403412026e-05, Rdown=8.499994034120362e-05
  λ=754.0201005025126 nm -> Rup=8.437813071863482e-05, Rdown=8.437813071863645e-05
  λ=756.78391959799 nm -> Rup=8.376311878728879e-05, Rdown=8.376311878728686e-05
  λ=759.5477386934674 nm -> Rup=8.31548058319008e-05, Rdown=8.315480583190217e-05
  λ=762.3115577889448 nm -> Rup=8.255309492249109e-05, Rdown=8.255309492249001e-05
  λ=765.0753768844222 nm -> Rup=8.195789087573424e-05, Rdown=8.195789087573499e-05
  λ=767.8391959798995 nm -> Rup=8.136910021735317e-05, Rdown=8.13691002173521e-05
  λ=770.6030150753769 nm -> Rup=8.078663114540705e-05, Rdown=8.078663114540564e-05
  λ=773.3668341708543 nm -> Rup=8.021039349453607e-05, Rdown=8.021039349453635e-05
  λ=776.1306532663317 nm -> Rup=7.964029870107574e-05, Rdown=7.96402987010758e-05
