Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_114601
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 20

---- COMBINATIONS ----

Combo name: Geom_S1_based_on_schema - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=723.6180904522613 nm -> Rup=0.36805947364149233, Rdown=0.28722812135259357
  λ=726.3819095477387 nm -> Rup=0.3530595277411398, Rdown=0.2760309026378445
  λ=729.1457286432161 nm -> Rup=0.3352714881941146, Rdown=0.2626420466710056
  λ=731.9095477386935 nm -> Rup=0.3148317375328252, Rdown=0.24711744565831564
  λ=734.6733668341708 nm -> Rup=0.2921046276000162, Rdown=0.22973594294863967
  λ=737.4371859296482 nm -> Rup=0.26769136483122097, Rdown=0.21094110178110742
  λ=740.2010050251256 nm -> Rup=0.2423837503289771, Rdown=0.1913354312338527
  λ=742.964824120603 nm -> Rup=0.21707675252832467, Rdown=0.17160444794286045
  λ=745.7286432160804 nm -> Rup=0.19264040968889382, Rdown=0.1524377260872306
  λ=748.4924623115578 nm -> Rup=0.16984606804655508, Rdown=0.13443605715338705
  λ=751.2562814070352 nm -> Rup=0.14924534145209475, Rdown=0.11805251265614924
  λ=754.0201005025126 nm -> Rup=0.13115774250705095, Rdown=0.10354795258876857
  λ=756.78391959799 nm -> Rup=0.11568655985379032, Rdown=0.09103103484637334
  λ=759.5477386934674 nm -> Rup=0.10277722098746463, Rdown=0.08047148302015138
  λ=762.3115577889448 nm -> Rup=0.09228940881444002, Rdown=0.07176430340830672
  λ=765.0753768844222 nm -> Rup=0.08405578861554085, Rdown=0.06479442684805155
  λ=767.8391959798995 nm -> Rup=0.0779251903483073, Rdown=0.05944429331984036
  λ=770.6030150753769 nm -> Rup=0.07374561082459073, Rdown=0.05559700023901899
  λ=773.3668341708543 nm -> Rup=0.07136614982725092, Rdown=0.053148384946918405
  λ=776.1306532663317 nm -> Rup=0.07062240622527903, Rdown=0.051966512329214544
  λ=778.894472361809 nm -> Rup=0.07132960157869152, Rdown=0.05191697462625638
  λ=781.6582914572864 nm -> Rup=0.07329083017193341, Rdown=0.05284920206851222
  λ=784.4221105527638 nm -> Rup=0.0763085548363736, Rdown=0.054608545797249906
  λ=787.1859296482412 nm -> Rup=0.08018755312287933, Rdown=0.05705552104270356
  λ=789.9497487437186 nm -> Rup=0.08474854872188334, Rdown=0.06004647272159959
  λ=792.713567839196 nm -> Rup=0.08982911184247905, Rdown=0.06345709730991615
  λ=795.4773869346734 nm -> Rup=0.09528359359704702, Rdown=0.067176525808512
  λ=798.2412060301508 nm -> Rup=0.10098524740206796, Rdown=0.0711077341010618
  λ=801.0050251256282 nm -> Rup=0.10682681567685841, Rdown=0.07516229159968191
